stock_id,公司名稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址,市場別,上櫃日期,興櫃日期,公司簡稱
1101,臺灣水泥股份有限公司,水泥工業,－,台北市中山北路2段113號,11913502,張安平,程耀輝,葉毓君,永續長,賴家柔,(02)2531-7099,1950-12-29,1962-02-09,新台幣 10.0000元,73561817420,7156181742,0,200000000,合併,每年,股東會,中國信託商業銀行代理部,66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,翁雅玲,黃惠敏,TCC,No.113 Sec.2 Zhongshan N. Rd.Taipei City 104Taiwan (R.O.C.),(02)2531-6529,finance@taiwancement.com,http://www.taiwancement.com,永續辦公室,永續辦公室,02-25317099,ir@taiwancement.com,http://www.taiwancement.com/tw/csr/csr5-1.html,sii,nan,nan,台泥
1102,亞洲水泥股份有限公司,水泥工業,－,台北市大安區敦化南路2段207號30、31樓,03244509,徐旭東,李坤炎,王照宇,協理,蔡祐吉,02-2733-8000,1957-03-21,1962-06-08,新台幣 10.0000元,35465628810,3546562881,0,0,合併,每季,董事會,亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,戴信維,陳培德,ACC,30-31F. No.207 Sec. 2 Dunhua S. Rd. Da' an Dist. Taipei City 106 TaiwanTAIPEITAIWANR.O.C,02-2378-5191,service@acc.com.tw,www.acc.com.tw,陳韋仲,投資人關係副經理,02 27338000 ext.8336,ir@acc.com.tw,http://www.acc.com.tw/tw/stakeholder/stakeholder_index.asp,sii,nan,nan,亞泥
1103,嘉新水泥股份有限公司,水泥工業,－,台北市中山北路2段96號,11892801,張剛綸,王立心,金哲毅,永續發展辦公室經理,馮文裕,(02)2551-5211,1954-12-13,1969-11-14,新台幣 10.0000元,7902474590,790247459,0,0,合併,每年,股東會,群益金鼎證券股份有限公司股代部,(02)2702-3999,台北市敦化南路2段97號地下2樓,勤業眾信聯合會計師事務所,陳薔旬,梁盛泰,CHC,No.96 Sec. 2 Zhongshan N. Rd. Zhongshan Dist.Taipei City 10449 Taiwan (R.O.C.),(02)2511-4002,ir@chcgroup.com.tw,www.chcgroup.com.tw,金哲毅,永續發展辦公室經理,(02)2551-5211#277,ir@chcgroup.com.tw,www.chcgroup.com.tw/index.php?route=system/system&id=89,sii,nan,nan,嘉泥
1104,環球水泥股份有限公司,水泥工業,－,台北市南京東路二段125號10樓,07568009,博智投資股份有限公司,侯智升,楊宗仁,財務長,詹志鴻,02-25077801,1960-03-21,1971-02-01,新台幣 10.0000元,6732174670,673217467,0,0,合併,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,李季珍,楊朝欽,UCC,10th F. 125 Nanking E.Rd Sec. 2Taipei Taiwan,02-25075870,ucc@ucctw.com,www.ucctw.com,楊宗仁,財務長,02-2507-7801,p1590@ucctw.com,http://www.ucctw.com/m/412-1518-12822.php?Lang=zh-tw,sii,nan,nan,環泥
1108,幸福水泥股份有限公司,水泥工業,－,台北市松江路237號15樓,40601248,陳兩傳,陳兩傳,溫秀菊,財務部經理,陳一誠,25092188,1974-05-07,1990-06-06,新台幣 10.0000元,4047380490,404738049,0,0,合併,每半會計年度,股東會,永豐金證券股務代理,2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,陳招美,陳薔旬,LUCKY CEMENT,15TH FL.NO.237SUNG KIANG RD.TAIPEITAIWANR.O.C.,25048672,wendy@luckygrp.com.tw,www.luckygrp.com.tw,溫秀菊,財務部經理,25092188,wendy@luckygrp.com.tw,http://www.luckygrp.com.tw/tw/index.asp?au_id=66&sub_id=79,sii,nan,nan,幸福
1109,信大水泥股份有限公司,水泥工業,－,台北市寶慶路37號7樓,03279507,楊智雄,楊大寬,張清壽,協理,蔡素秋,(02)23816731,1964-03-15,1991-12-05,新台幣 10.0000元,3411588680,341158868,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北巿重慶南路一段83號5樓,資誠聯合會計師事務所,李秀玲,徐明釧,HsingTa,7TH FL.No.37 Pao Ching RoadTaipei Taiwan R.O.C.,23314086,service@hsingta.com.tw,www.hsingta.com.tw,蔡素秋,財會部經理,02-23816731#160,emily@hsingta.com.tw,http://www.hsingta.com.tw/Aboutusdetail.asp?lv=-1&id=14,sii,nan,nan,信大
1110,東南水泥股份有限公司,水泥工業,－,高雄市前金區五福三路21號4樓之1,83078600,陳敏斷,吳炎輝,黃薪翰,財務部副總經理,唐榮宗,07-2711121,1956-12-28,1994-10-22,新台幣 10.0000元,5720007970,572000797,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下室1樓,國富浩華聯合會計師事務所,李青霖,黃鈴雯,TUNA CEMENT,NO.21 Wu Fu 3 RoadKaohsiung Taiwan R.O.C.,07-9505895,southeast@secement.com,www.southeastcement.com.tw,黃薪翰,財務部副總經理,07-2711121,vance.huang@secement.com,http://www.southeastcement.com.tw/index.php?q=node/175,sii,nan,nan,東泥
1201,味全食品工業股份有限公司,食品工業,－,台北市松江路125號,11347802,陳宏裕,張教華,黃國禎,財務長,待補,(02)25065020,1953-09-22,1962-02-09,新台幣 10.0000元,5060629140,506062914,0,0,合併,每年,董事會,元大證券股務代理部,(02)25865859,台北市大同區承德路3段210號地下一樓,資誠聯合會計師事務所,黃世鈞,吳郁隆,WEI CHUAN,10F. No.125 Sung Chiang Rd.Taipei Taiwan R.O.C.,(02)25063182,service@weichuan.com.tw,http://www.weichuan.com.tw,黃國禎,財務長,(02)25065020,KC_Huang@weichuan.com.tw,http://www.weichuan.com.tw/investor,sii,nan,nan,味全
1203,味王股份有限公司,食品工業,－,台北市中山北路二段79號5樓,07067309,陳清福,陳恭平,魏璟雄,經理,李兆弘,(02)25717271,1959-07-04,1964-08-24,新台幣 10.0000元,2400000000,240000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號地下2樓,大中國際聯合會計師事務所,林寬照,張卉諭,VE WONG,5TH FL. 79 CHUNG SHAN N. RD. SEC.2TAIPEI TAIWAN,(02)25811006,wei@vewong.com.tw,http://www.vewong.com,魏璟雄,經理,(02)25717271-610,wei@vewong.com.tw,http://www.vewong.com/ec99/ushop20069/profile_9.asp,sii,nan,nan,味王
1210,大成長城企業股份有限公司,食品工業,－,台南市永康區蔦松二街三號,73008303,韓家宇,韓芳豪,周叔恆,特助,夏銜譽,06-2531111,1960-12-28,1978-05-20,新台幣 10.0000元,8947672220,894767222,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號六樓,安侯建業會計師事務所,李逢暉,鍾丹丹,GREATWALL,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,06-2534596,ir@ms.greatwall.com.tw,http://www.dachan.com,周叔恆,特助,02-26577111,ir@ms.greatwall.com.tw,https://www.dachan.com/forward4?subChannelId=736&id=736&contentId=&subChannelLevel=2,sii,nan,nan,大成
